"grande_area","modalidade","linha_de_fomento","valor"
"Ciências Humanas","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","465327935"
"Ciências da Saúde","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","463953394"
"Tecnologias","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","463787255"
"Lingüística, Letras e Artes","PDJ - Pós-Doutorado Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","454903000"
"Engenharias","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","446045000"
"Ciências Humanas","SWG - Graduação Sanduíche no Exterior","Bolsas de Graduação","438225583"
"Engenharias","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","434820000"
"Ciências da Saúde","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","433654600"
"Ciências Humanas","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","428713573"
"Outra","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","422437200"
"Ciências Agrárias","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","420719020"
"Ciências Biológicas","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","419436000"
"Engenharias","PD - Pós-doutorado","Bolsas de Pós-doutorado","419098818"
"Não informado","GD - Doutorado","APOIO A PROJETOS DE PESQUISA","416588480"
"Outra","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","414001600"
"Engenharias","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","407734000"
"Ciências da Saúde","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","406328500"
"Lingüística, Letras e Artes","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","397654117"
"Outra","GM - Mestrado","Bolsas de Mestrado","396262491"
"Ciências Biológicas","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","383489640"
"Ciências Exatas e da Terra","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","383133629"
"Ciências Biológicas","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","370500000"
"Engenharias","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","362300000"
"Ciências da Saúde","EPI - Bolsa de Treinamento - Programa EPISUS","APOIO A PROJETOS DE PESQUISA","362028200"
"Ciências Biológicas","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","358909000"
"Outra","ICJ - Iniciação Científica Júnior","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","355990000"
"Ciências Sociais Aplicadas","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","355969283"
"Engenharias","MPE - Mestrado Profissional no Exterior","Bolsas no Exterior","354518061"
"Não informado","GM - Mestrado","APOIO A PROJETOS DE PESQUISA","349650000"
"Ciências Exatas e da Terra","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","348553429"
"Ciências Agrárias","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","345731400"
"Ciências Humanas","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","344785939"
"Ciências Agrárias","PD - Pós-doutorado","Bolsas de Pós-doutorado","342633148"
"Ciências da Saúde","EPI - Bolsa de Treinamento - Programa","Bolsas de Desenvolvimento Tecnológico e Industrial","339152175"
"Ciências Exatas e da Terra","DTC - Desenvolvimento Tecnológico em TICs","Bolsas de Desenvolvimento Tecnológico e Industrial","338294800"
"Ciências Biológicas","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","333010000"
"Lingüística, Letras e Artes","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","331328718"
"Ciências da Saúde","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","327677580"
"Ciências Sociais Aplicadas","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","327170000"
"Ciências da Saúde","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","326940000"
"Ciências Sociais Aplicadas","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","325607853"
"Ciências Biológicas","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","325494106"
"Ciências Humanas","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","324485200"
"Engenharias","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","319917764"
"Engenharias","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","319796793"
"Ciências Exatas e da Terra","RD - Recem-Doutor","Bolsas de Pesquisa Especial","318411276"
"Ciências da Saúde","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","317485191"
"Ciências Exatas e da Terra","ESN - Estágio Sênior no Exterior","Estágio","313906008"
"Ciências Agrárias","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","310880071"
"Ciências Exatas e da Terra","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","309624304"
"Ciências Sociais Aplicadas","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","307560512"
"Ciências da Saúde","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","303800209"
"Ciências Humanas","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","300103000"
"Outra","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","297902600"
"Ciências Exatas e da Terra","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","295941146"
"Outra","PDJ - Pós-doutorado Júnior","Bolsas de Pós-doutorado","293966301"
"Ciências Sociais Aplicadas","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","292487800"
"Ciências Humanas","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","291155000"
"Ciências Humanas","PCI - Programa de Capacitação Institucional","Bolsas de Desenvolvimento Tecnológico e Industrial","288633700"
"Ciências Sociais Aplicadas","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","288349580"
"Ciências Biológicas","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","286660801"
"Ciências da Saúde","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","286602084"
"Ciências da Saúde","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","283180000"
"Ciências Sociais Aplicadas","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","283020000"
"Ciências Biológicas","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","280256600"
"Ciências Humanas","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","277950700"
"Ciências Biológicas","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","277709158"
"Ciências Exatas e da Terra","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","277383690"
"Ciências Agrárias","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","277323510"
"Ciências Agrárias","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","274546504"
"Ciências Biológicas","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","267716250"
"Ciências Exatas e da Terra","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","267641381"
"Ciências da Saúde","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","267336043"
"Ciências Biológicas","RD - Recem-Doutor","Bolsas de Pesquisa Especial","263588378"
"Outra","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","262227980"
"Ciências da Saúde","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","260982100"
"Ciências Agrárias","RD - Recem-Doutor","Bolsas de Pesquisa Especial","260464648"
"Ciências Biológicas","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","260055200"
"Engenharias","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","259425268"
"Ciências Humanas","ESN - Estágio Sênior no Exterior","Estágio","258375044"
"Ciências Sociais Aplicadas","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","257254551"
"Outra","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","255290074"
"Ciências Humanas","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","254803186"
"Ciências Exatas e da Terra","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","254691311"
"Ciências Humanas","SET - Fixação de Recursos Humanos","APOIO A PROJETOS DE PESQUISA","253477600"
"Engenharias","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","252393825"
"Ciências Sociais Aplicadas","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","251320000"
"Ciências da Saúde","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","248585809"
"Outra","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","247526808"
"Ciências da Saúde","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","247378000"
"Tecnologias","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","243000160"
"Ciências Sociais Aplicadas","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","240029000"
"Ciências Humanas","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","236780000"
"Ciências Biológicas","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","236196809"
"Indefinido","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","235661420"
"Ciências Exatas e da Terra","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","233792495"
"Ciências Sociais Aplicadas","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","230728775"
"Ciências da Saúde","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","225852000"
"Ciências Biológicas","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","224370000"
"Engenharias","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","221246400"
"Ciências da Saúde","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","220790000"
"Ciências Exatas e da Terra","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","220000000"
"Tecnologias","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","219180000"
"Outra","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","217397253"
"Ciências Biológicas","ESN - Estágio Sênior no Exterior","Estágio","214826405"
"Ciências da Saúde","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","212721000"
"Engenharias","RD - Recem-Doutor","Bolsas de Pesquisa Especial","210028878"
"Ciências Agrárias","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","209693000"
"Ciências Sociais Aplicadas","SET - Fixação de Recursos Humanos","Bolsas de Fixação de Doutores","208282671"
"Ciências Humanas","PD - Pós-doutorado","Bolsas de Pós-doutorado","205046864"
"Ciências Humanas","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","204684751"
"Engenharias","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","196338268"
"Ciências Agrárias","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","194670000"
"Ciências Biológicas","PJF - Pós-Doutorado Junior FIOCRUZ","Bolsas de Pós-doutorado","193542335"
"Engenharias","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","192647376"
"Lingüística, Letras e Artes","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","188240000"
"Outra","PQ - Produtividade em Pesquisa","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","186594000"
"Ciências Exatas e da Terra","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","181046624"
"Ciências Humanas","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","177776321"
"Ciências Exatas e da Terra","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","177280000"
"Ciências Agrárias","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","177075100"
"Engenharias","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","177067569"
"Ciências Biológicas","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","176922600"
"Outra","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","176086550"
"Outra","GD - Doutorado","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","176028935"
"Indefinido","APQ - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","175863140"
"Ciências Humanas","DES - Desenvolvimento Tecnológico e Inovação Ext Sênior","Bolsas de Graduação","166349888"
"Ciências Biológicas","PSF - Pesquisador Visitante Senior FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","164991622"
"Ciências Sociais Aplicadas","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","162685000"
"Ciências Humanas","RD - Recem-Doutor","Bolsas de Pesquisa Especial","161246079"
"Ciências da Saúde","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","159109125"
"Lingüística, Letras e Artes","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","157640207"
"Ciências Agrárias","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","155335101"
"Ciências da Saúde","PD - Pós-doutorado","Bolsas de Pós-doutorado","150057472"
"Ciências da Saúde","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","147718574"
"Engenharias","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","146849419"
"Lingüística, Letras e Artes","PDS - Pós-Doutorado Sênior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","145652000"
"Ciências Sociais Aplicadas","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","145208350"
"Ciências da Saúde","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","144640000"
"Ciências da Saúde","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","143707603"
"Ciências da Saúde","ESN - Estágio Sênior no Exterior","Estágio","143377001"
"Engenharias","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","141512500"
"Ciências Exatas e da Terra","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","140553901"
"Ciências Agrárias","EXP - Extensão no País","APOIO A PROJETOS DE PESQUISA","139571000"
"Ciências Exatas e da Terra","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","139118500"
"Engenharias","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","136946630"
"Tecnologias","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","136927318"
"Outra","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","132838166"
"Tecnologias","GD - Doutorado","Bolsas de Doutorado","132813457"
"Engenharias","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","132795000"
"Engenharias","BSP - Bolsa Treinamento no Exterior","Bolsa de Cota (Curta Dur.)","132019234"
"Ciências Exatas e da Terra","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","131766252"
"Ciências Sociais Aplicadas","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","131698177"
"Ciências Humanas","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","131116925"
"Engenharias","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","128770000"
"Ciências Biológicas","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","128288389"
"Outra","PDI - Pós-Doutorado Empresarial","APOIO A PROJETOS DE PESQUISA","127920000"
"Ciências Humanas","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","126992500"
"Engenharias","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","125146164"
"Engenharias","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","123717261"
"Lingüística, Letras e Artes","AT - Apoio Técnico a Pesquisa","Bolsas de Apoio Técnico","120549604"
"Engenharias","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","120469469"
"Ciências da Saúde","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","119581500"
"Ciências Sociais Aplicadas","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","117259680"
"Ciências Humanas","PSF - Pesquisador Visitante Senior FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","116379280"
"Ciências Biológicas","ADC - Apoio à Difusão do Conhecimento","APOIO A PROJETOS DE PESQUISA","116220800"
"Engenharias","ESN - Estágio Sênior no Exterior","Estágio","115976137"
"Engenharias","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","114642000"
"Lingüística, Letras e Artes","DTI - Desenvolvimento Tecnológico Industrial","Bolsas de Desenvolvimento Tecnológico e Industrial","114148397"
"Lingüística, Letras e Artes","IC - Iniciação Científica","APOIO A PROJETOS DE PESQUISA","113630000"
"Ciências Humanas","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","113162627"
"Engenharias","SPE - Estagio/Especializacao no Exterior","Estágio","112273885"
"Tecnologias","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","111108800"
"Lingüística, Letras e Artes","ACT - Apoio ao Desenvolvimento Científico e Tecnológico","Apoio a Projetos de Pesquisas","109493441"
"Ciências da Saúde","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","108771034"
"Outra","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","107645052"
"Engenharias","ITC - Iniciação Tecnológica em TIC's","APOIO A PROJETOS DE PESQUISA","106956000"
"Lingüística, Letras e Artes","PDS - Pós-doutorado Sênior","Bolsas de Pós-doutorado","106401607"
"Ciências Exatas e da Terra","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","105298000"
"Ciências da Saúde","IEX - Iniciação ao Extensionismo","APOIO A PROJETOS DE PESQUISA","104646000"
"Outra","ATP - Apoio Técnico em Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","104601000"
"Lingüística, Letras e Artes","RD - Recem-Doutor","Bolsas de Pesquisa Especial","102386744"
"Ciências Agrárias","AT - Apoio Técnico à Pesquisa","APOIO A PROJETOS DE PESQUISA","102276000"
"Ciências Exatas e da Terra","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","101587403"
"Ciências Humanas","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","101486060"
"Outra","EXP - Extensão no País","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","100693800"
"Ciências da Saúde","EPI - Bolsa de Treinamento - Programa EPISUS","Bolsas de Desenvolvimento Tecnológico e Industrial","100232296"
"Engenharias","SWE - Doutorado Sanduíche no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","99840009"
"Ciências Biológicas","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","99630000"
"Ciências da Saúde","PSF - Pesquisador Visitante Senior FIOCRUZ","Bolsas de Pesquisador/Especialista Visitante","99264680"
"Ciências Exatas e da Terra","PDE - Pós-Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","99189202"
"Engenharias","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","97217868"
"Ciências Humanas","AED - Apoio a Publicações Científicas","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","96523305"
"Ciências Agrárias","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","96518478"
"Ciências Agrárias","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","96175000"
"Ciências Biológicas","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","95401635"
"Ciências Humanas","PV - Pesquisador Visitante","APOIO A PROJETOS DE PESQUISA","95138415"
"Ciências Humanas","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","93488000"
"Ciências Biológicas","ITI - Iniciação Tecnológica e Industrial","Bolsas de Iniciação Tecnológica e Industrial","92359118"
"Ciências Biológicas","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","90510200"
"Ciências Sociais Aplicadas","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","89817769"
"Ciências Humanas","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","89746738"
"Outra","SDT - Desenvolvimento Tecnológico em Semicondutores","Bolsas de Desenvolvimento Tecnológico e Industrial","89488490"
"Ciências Humanas","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","89248511"
"Ciências da Saúde","DCR - Desenvolvimento Científico Regional","APOIO A PROJETOS DE PESQUISA","89175000"
"Ciências Sociais Aplicadas","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","88570000"
"Tecnologias","AI - Auxílio a Pesquisa","Apoio a Projetos de Pesquisas","88385008"
"Ciências Biológicas","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","88280609"
"Ciências Exatas e da Terra","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","88233000"
"Tecnologias","ICJ - Iniciação Científica Júnior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","87310000"
"Ciências Biológicas","DTI - Desenvolvimento Tecnológico Industrial","APOIO A COOPERAÇÃO INTERNACIONAL","87243000"
"Não informado","IT - Iniciação Tecnológica","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","85680000"
"Lingüística, Letras e Artes","ARC - Promoção de Eventos Científicos","Apoio a Participação/Realização de Eventos","85012464"
"Lingüística, Letras e Artes","PDJ - Pós-Doutorado Júnior","APOIO A PROJETOS DE PESQUISA","84686000"
"Ciências Sociais Aplicadas","PD - Pós-doutorado","Bolsas de Pós-doutorado","84302912"
"Lingüística, Letras e Artes","ARC - Promoção de Eventos Científicos","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","83760000"
"Tecnologias","DT - Produtividade Desen. Tec. e Extensão Inovadora","Bolsas de Produtividade em Pesquisa e Tecnologia","83460796"
"Tecnologias","EXP - Extensão no País","Bolsas de Extensão em Pesquisa","83137174"
"Lingüística, Letras e Artes","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","82938400"
"Ciências Humanas","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","82505971"
"Indefinido","SWE - Doutorado Sanduíche no Exterior","Bolsas de Doutorado","81495602"
"Ciências Sociais Aplicadas","ESN - Estágio Sênior no Exterior","Estágio","81350635"
"Ciências da Saúde","ADC - Apoio à Difusão do Conhecimento","Bolsas de Iniciação Científica","81249871"
"Outra","IT - Iniciação Tecnológica","Bolsas de Iniciação Tecnológica e Industrial","81187780"
"Outra","ICJ - Iniciação Científica Júnior","APOIO A PROJETOS DE PESQUISA","79560000"
"Ciências Agrárias","ESN - Estágio Sênior no Exterior","Estágio","78999416"
"Ciências Exatas e da Terra","ATP - Apoio Técnico em Extensão no País","Bolsas de Apoio Técnico","78809091"
"Ciências da Saúde","DCR - Desenvolvimento Cientifico Regional","Bolsas de Desenvolvimento Científico e Regional","78634859"
"Outra","PDE - Pós-Doutorado no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","78449329"
"Engenharias","GDE - Doutorado no Exterior","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","78240379"
"Ciências da Saúde","PV - Pesquisador Visitante","Bolsas de Pesquisador/Especialista Visitante","78123900"
"Engenharias","PVE - Pesquisador Visitante Estrangeiro","Bolsas de Pesquisador/Especialista Visitante","76480833"
"Ciências Sociais Aplicadas","ICJ - Iniciação Científica Júnior","Bolsas de Iniciação Científica Júnior","74641300"
"Ciências Sociais Aplicadas","BEV - Bolsa Especialista Visitante","Bolsa de Cota (Curta Dur.)","74139790"
"Lingüística, Letras e Artes","SWE - Doutorado Sanduíche no Exterior","APOIO A COOPERAÇÃO INTERNACIONAL","73825789"
"Ciências Sociais Aplicadas","EV - Especialista Visitante","Bolsas de Pesquisador/Especialista Visitante","73253008"
"Ciências Agrárias","DEJ - Desenvolvimento Tecnológico e Inovação Ext Junior","Bolsas de Graduação","72525107"
"Ciências Biológicas","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","71656000"
"Ciências Sociais Aplicadas","ITI - Iniciação Tecnológica Industrial","APOIO A PROJETOS DE PESQUISA","71333200"
"Ciências Agrárias","PDI - Pos-doutorado Empresarial","Bolsas de Pós-doutorado","70680332"
"Ciências Humanas","ATP - Apoio Técnico em Extensão no País","APOIO A PROJETOS DE PESQUISA","70233000"
"Ciências da Saúde","AED - Auxílio a Editoração e Publicação","Apoio a Periódicos Científicos","69162076"
"Ciências Sociais Aplicadas","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","69024000"
"Lingüística, Letras e Artes","DTI - Desenvolvimento Tecnológico Industrial","APOIO A PROJETOS DE PESQUISA","69003400"
"Ciências Exatas e da Terra","PDS - Pós-Doutorado Sênior","APOIO A PROJETOS DE PESQUISA","67102000"
"Ciências Sociais Aplicadas","ADC - Apoio à Difusão do Conhecimento","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","66892250"
"Ciências Sociais Aplicadas","RD - Recem-Doutor","Bolsas de Pesquisa Especial","66608181"
"Ciências Exatas e da Terra","SWP - Doutorado-Sanduiche no Pais","Bolsas de Doutorado","65802047"
"Ciências Exatas e da Terra","PAV - Bolsa Pesquisador-Avaliador","BOLSAS DE FORMAÇÃO E DE PESQUISADORES","65460000"
"Engenharias","PDE - Pós-Doutorado no Exterior","APOIO A PROJETOS DE PESQUISA","65303730"
"Ciências Humanas","EV - Especialista Visitante","APOIO A PROJETOS DE PESQUISA","63805000"
"Outra","DTI - Desenvolvimento Tecnológico Industrial","APOIO A DIVULGAÇÃO CIENTÍFICA E POPULARIZAÇÃO DA CIÊNCIA","60367600"
"Ciências Biológicas","DTC - Desenvolvimento Tecnológico em TICs","APOIO A PROJETOS DE PESQUISA","60340000"
