"grande_area","area","subarea","valor"
"Ciências Biológicas","Zoologia","Zoologia","957181572"
"Ciências Exatas e da Terra","Física","Física Estatística e Termodinâmica","953541038"
"Ciências da Saúde","Medicina","Cancerologia","950185266"
"Ciências Biológicas","Botânica","Taxonomia de Fanerógamos","946621052"
"Ciências Humanas","Filosofia","Estética e Filosofia da Arte","942094543"
"Outra","Defesa","Defesa","939535128"
"Ciências da Saúde","Fonoaudiologia","Fonoaudiologia","937347377"
"Ciências da Saúde","Medicina","Radiologia Médica","936205693"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Ciência e Tecnologia de Alimentos","934855331"
"Ciências da Saúde","Saúde Coletiva","Ciências Sociais e Humanidades em Saúde","933346900"
"Engenharias","Engenharia Química","Polímeros","929559009"
"Outra","Biomedicina","Biomedicina","926618461"
"Ciências Agrárias","Medicina Veterinária","Medicina Veterinária","912570098"
"Ciências Exatas e da Terra","Matemática","Geometria Diferencial","906981751"
"Tecnologias","Biotecnologia","Não informado","901568240"
"Ciências Biológicas","Fisiologia","Fisiologia","900008139"
"Tecnologias","Meio Ambiente e Sustentabilidade","Não informado","896078000"
"Ciências Agrárias","Engenharia Agrícola","Irrigação e Drenagem","895042180"
"Ciências Humanas","Teologia","Teologia Fundamental Sistemática","888406781"
"Ciências Humanas","Teologia","Teologia Prática","883316197"
"Engenharias","Engenharia de Minas","Métodos de Concentração e Enriquecimento de Minérios","878182168"
"Ciências Biológicas","Botânica","Taxonomia de Criptógamos","876608004"
"Engenharias","Engenharia de Minas","Lavra","874673598"
"Ciências Biológicas","Botânica","Botânica","869827265"
"Ciências Exatas e da Terra","Astronomia","Astrofísica do Meio Interestelar","867839202"
"Ciências Humanas","Sociologia","Sociologia do Conhecimento","867059096"
"Engenharias","Engenharia Química","Modelagem, Simulação, Síntese, Otimização e Controle de Processos","856977200"
"Ciências Exatas e da Terra","Matemática","Equações Diferenciais Parciais","843570808"
"Engenharias","Engenharia de Materiais e Metalúrgica","Materiais Conjugados Não-Metálicos","843166509"
"Lingüística, Letras e Artes","Artes","Artes Plásticas","836343717"
"Engenharias","Engenharia Civil","Estruturas Metálicas","834133727"
"Ciências Agrárias","Medicina Veterinária","Anatomia Patologia Animal","831737798"
"Engenharias","Engenharia Naval e Oceânica","Projeto de Navios e de Sistemas Oceânicos","829071089"
"Tecnologias","Tecnologias de Produção Industrial e de Serviços","Não informado","822268000"
"Ciências Exatas e da Terra","Química","Polímeros e Colóides","820329740"
"Engenharias","Engenharia Mecânica","Mecânica dos Corpos Sólidos, Elásticos e Plásticos","819914360"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Arquitetura e Urbanismo","819053668"
"Ciências Biológicas","Genética","Genética","810849459"
"Ciências Biológicas","Microbiologia","Micologia","808126745"
"Engenharias","Engenharia de Produção","Programação Linear, Não-Linear, Mista e Dinâmica","806304622"
"Tecnologias","Tecnologias Médicas e da Saúde","Não informado","797051633"
"Ciências Exatas e da Terra","Química","Química de Interfaces","796873625"
"Ciências Exatas e da Terra","Geociências","Geodésia","796301053"
"Ciências Sociais Aplicadas","Comunicação","Comunicação","794207962"
"Engenharias","Engenharia Aeroespacial","Satélites e Outros Dispositivos Aeroespaciais","788056969"
"Tecnologias","Tecnologias Agrárias","Não informado","784351000"
"Ciências Exatas e da Terra","Ciência da Computação","Software Básico","783052006"
"Engenharias","Engenharia Aeroespacial","Estruturas Aeroespaciais","783040656"
"Outra","Tecnologia e Inovação","Tecnologia e Inovação","772138183"
"Engenharias","Engenharia Civil","Rodovias; Projeto e Construção","765934650"
"Ciências Agrárias","Medicina Veterinária","Doenças Parasitárias de Animais","764651119"
"Engenharias","Engenharia de Produção","Estudo de Mercado","761665703"
"Ciências Exatas e da Terra","Física","Ótica","753061044"
"Ciências da Saúde","Odontologia","Odontologia","752699527"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Avaliação e Controle de Qualidade de Alimentos","742276231"
"Ciências Humanas","Sociologia","Sociologia da Saúde","741958712"
"Engenharias","Engenharia Mecânica","Transferência de Calor","740211517"
"Ciências Exatas e da Terra","Química","Química Bio-Inorgânica","739729319"
"Ciências Biológicas","Fisiologia","Fisiologia Endócrina","733301115"
"Engenharias","Engenharia de Minas","Pesquisa Mineral","732594551"
"Engenharias","Engenharia de Produção","Garantia de Controle de Qualidade","731503764"
"Ciências Exatas e da Terra","Física","Superfícies e Interfaces; Películas e Filamentos","724823997"
"Ciências Biológicas","Microbiologia","Microbiologia","719528457"
"Ciências Agrárias","Medicina Veterinária","Saúde Animal (Programas Sanitários)","718502791"
"Ciências Exatas e da Terra","Ciência da Computação","Hardware","718294664"
"Engenharias","Engenharia Naval e Oceânica","Hidrodinâmica de Navios e Sistemas Oceânicos","714227685"
"Ciências Exatas e da Terra","Geociências","Paleontologia Estratigráfica","704568040"
"Ciências Exatas e da Terra","Geociências","Geocronologia","703305176"
"Ciências Humanas","Psicologia","Psicologia do Ensino e da Aprendizagem","700604209"
"Ciências Exatas e da Terra","Geociências","Sensoriamento Remoto","699524312"
"Ciências Exatas e da Terra","Química","Físico Química Inorgânica","698082629"
"Ciências Humanas","Filosofia","Filosofia","689470391"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Microbiologia de Alimentos","687554406"
"Ciências Humanas","Arqueologia","Arqueologia Histórica","676697589"
"Tecnologias","Tecnologias Digitais","Não informado","676696000"
"Engenharias","Engenharia Elétrica","Materiais e Componentes Semicondutores","674435620"
"Engenharias","Engenharia Sanitária","Residuos Sólidos, Domésticos e Industriais","673872541"
"Ciências Humanas","Educação","Educação Permanente","672448680"
"Ciências Humanas","Educação","História da Educação","665705101"
"Ciências da Saúde","Medicina","Pediatria","665350671"
"Ciências Exatas e da Terra","Astronomia","Astrofísica do Sistema Solar","665249006"
"Engenharias","Engenharia Civil","Mecânicas dos Solos","662040420"
"Ciências Exatas e da Terra","Geociências","Geologia Ambiental","659478646"
"Engenharias","Engenharia Nuclear","Engenharia Nuclear","657098532"
"Engenharias","Engenharia Elétrica","Medição, Controle, Correção e Proteção de Sistemas Elétricos  de Potência","653117128"
"Tecnologias","Tecnologias de Materiais","Não informado","649784000"
"Ciências da Saúde","Medicina","Nefrologia","648958424"
"Engenharias","Engenharia Elétrica","Teoria Geral dos Circuitos Elétricos","645201021"
"Ciências Agrárias","Medicina Veterinária","Clínica Veterinária","644302855"
"Engenharias","Engenharia Química","Balanços Globais de Matéria e Energia","643280356"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Tecnologia de Produtos de Origem Vegetal","641860659"
"Engenharias","Microeletrônica","Dispositivos","628069247"
"Lingüística, Letras e Artes","Letras","Literaturas Clássicas","626884880"
"Engenharias","Engenharia Aeroespacial","Aviões","618922022"
"Engenharias","Engenharia Elétrica","Sistemas Eletrônicos de Medida e de Controle","614975825"
"Engenharias","Engenharia Civil","Hidrologia","603402081"
"Ciências Agrárias","Engenharia Agrícola","Conservação de Solo e Água","593278078"
"Ciências Humanas","Teologia","História das Teologias e Religiões","590605080"
"Engenharias","Engenharia Biomédica","Processamento de Sinais Biológicos","590223189"
"Engenharias","Engenharia Elétrica","Eletrônica Industrial","585017689"
"Engenharias","Engenharia Sanitária","Controle da Poluição","584894760"
"Ciências Biológicas","Farmacologia","Farmacologia","582210661"
"Ciências Exatas e da Terra","Geociências","Geociências","580864856"
"Engenharias","Engenharia de Materiais e Metalúrgica","Propriedades Mecânicas dos Metais e Ligas","577428451"
"Engenharias","Engenharia Química","Processos Inorgânicos","575027810"
"Ciências Exatas e da Terra","Física","Física Clássica e Física Quântica; Mecânica e Campos","573535041"
"Tecnologias","Tecnologias Sociais e Educacionais","Não informado","573149520"
"Engenharias","Engenharia Civil","Instalações Prediais","572595685"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","História da Arquitetura e Urbanismo","571319806"
"Engenharias","Engenharia Mecânica","Princípios Variacionais e Métodos Numéricos","569667211"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Tecnologia de Produtos de Origem Animal","568731805"
"Ciências Biológicas","Fisiologia","Fisiologia do Esforço","556819834"
"Ciências Biológicas","Biofísica","Biofísica","548807053"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde Mental","548505934"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Recuperação de Areas Degradadas","548427820"
"Engenharias","Engenharia Aeroespacial","Combustão e Escoamento com Reações Químicas","545600917"
"Ciências Exatas e da Terra","Geociências","Geomorfologia","545520274"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Adequação Ambiental","542805648"
"Ciências Exatas e da Terra","Química","Química do Estado Condensado","541046917"
"Engenharias","Engenharia Sanitária","Técnicas Avançadas de Tratamento de Águas","537734162"
"Tecnologias","Energia","Não informado","537524000"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Dendrometria e Inventário Florestal","534449908"
"Engenharias","Engenharia Mecânica","Controle de Sistemas Mecânicos","531221018"
"Engenharias","Engenharia Mecânica","Análise de Tensões","530910972"
"Ciências Agrárias","Engenharia Agrícola","Engenharia Agrícola","530669330"
"Ciências Agrárias","Agronomia","Produção e Beneficiamento de Sementes","528887338"
"Ciências Exatas e da Terra","Geociências","Estratigrafia","525027995"
"Engenharias","Engenharia Mecânica","Robotização","524869435"
"Engenharias","Engenharia Mecânica","Fundamentos Gerais de Projetos das Máquinas","518968401"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde da Criança e do Adolescente","517885799"
"Ciências Sociais Aplicadas","Administração","Administração","516239779"
"Ciências Humanas","Educação","Tecnologia Educacional","515065490"
"Engenharias","Microeletrônica","EDA","512394655"
"Engenharias","Engenharia Civil","Hidráulica","510918574"
"Ciências Humanas","Educação","Educação Rural","504646648"
"Ciências Exatas e da Terra","Química","Eletroanalítica","503349503"
"Ciências Exatas e da Terra","Astronomia","Cosmologia","503118051"
"Engenharias","Engenharia de Materiais e Metalúrgica","Corrosão","501184617"
"Ciências Exatas e da Terra","Física","Relatividade e Gravitação","499245533"
"Engenharias","Engenharia Química","Alimentos","495864504"
"Engenharias","Engenharia Biomédica","Biomateriais e Materiais Biocompatíveis","493179508"
"Engenharias","Engenharia Nuclear","Instrumentação para Medida e Controle de Radiação","489588067"
"Ciências da Saúde","Medicina","Ginecologia e Obstetrícia","482586456"
"Engenharias","Engenharia Elétrica","Circuitos Magnéticos , Magnetismos e Eletromagnetismos","479320060"
"Ciências Exatas e da Terra","Geociências","Meteorologia Aplicada","478377743"
"Ciências Agrárias","Agronomia","Não informado","473842200"
"Ciências Agrárias","Agronomia","Microbiologia Agrícola","471860341"
"Engenharias","Engenharia Elétrica","Máquinas Elétricas e Dispositivos de Potência","465136709"
"Engenharias","Engenharia Mecânica","Maquinas de Usinagem e Conformação","463812739"
"Ciências da Saúde","Enfermagem","Enfermagem","460881532"
"Ciências Sociais Aplicadas","Administração","Planejamento em Ciência e Tecnologia","460486864"
"Lingüística, Letras e Artes","Artes","Desenho","455937562"
"Ciências Agrárias","Medicina Veterinária","Fisiopatologia da Reprodução Animal","454790674"
"Ciências Agrárias","Agronomia","Química do Solo","449490767"
"Ciências Exatas e da Terra","Química","Instrumentação Analítica","447351759"
"Ciências Humanas","Geografia","Geografia","446350310"
"Ciências Biológicas","Microbiologia","Bacteriologia","442669762"
"Ciências Exatas e da Terra","Química","Físico-Química Orgânica","439812758"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Manejo e Conservação de Recursos Pesqueiros Marinhos","438112354"
"Engenharias","Engenharia Aeroespacial","Engenharia Aeroespacial","437453646"
"Ciências Agrárias","Zootecnia","Manejo de Animais","432765270"
"Ciências Exatas e da Terra","Geociências","Geotectônica","431673905"
"Ciências Agrárias","Agronomia","Matologia","431221557"
"Ciências Sociais Aplicadas","Economia","Economia Regional","430593888"
"Ciências Biológicas","Biotecnologia","Novas Drogas Terapêuticas","430274589"
"Engenharias","Engenharia de Materiais e Metalúrgica","Extração e Transformação de Materiais","430255814"
"Engenharias","Engenharia Mecânica","Elementos de Máquinas","427284143"
"Ciências Exatas e da Terra","Física","Transp. Eletrônicos e Prop. Elétricas de Superfícies; Interfaces e Películas","427178741"
"Engenharias","Engenharia de Materiais e Metalúrgica","Instalações e Equipamentos Metalúrgicos","424527202"
"Engenharias","Engenharia de Materiais e Metalúrgica","Tratamentos Térmicos, Mecânicos e Químicos","422666252"
"Ciências Sociais Aplicadas","Economia","Economia  dos Recursos Humanos","419642550"
"Ciências Exatas e da Terra","Ciência da Computação","Lógicas e Semântica de Programas","418975424"
"Engenharias","Engenharia de Minas","Lavra a Céu Aberto","418020700"
"Ciências da Saúde","Enfermagem","Enfermagem em Saúde da Mulher","414761128"
"Ciências Biológicas","Imunologia","Imunologia","414743975"
"Engenharias","Engenharia Biomédica","Instrumentação Odontológica e Médico-Hospitalar","411772491"
"Engenharias","Engenharia Mecânica","Aproveitamento de Energia","410780175"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Genética e Melhoramento Florestal","410389968"
"Engenharias","Engenharia Mecânica","Estática e Dinâmica Aplicada","409666505"
"Ciências Exatas e da Terra","Química","Campos de Coordenação","407993776"
"Engenharias","Engenharia de Produção","Suprimentos","407232717"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Engenharia de Pesca","405051785"
"Outra","Microeletrônica","Projeto","404196000"
"Ciências Exatas e da Terra","Química","Não informado","402185001"
"Engenharias","Engenharia de Energia","Energia de Biomassa","401186698"
"Ciências Agrárias","Zootecnia","Ecologia dos Animais Domésticos e Etologia","400474947"
"Ciências Biológicas","Bioquímica","Glicídeos","399098353"
"Ciências Humanas","Educação","Ensino Profissionalizante","398752238"
"Engenharias","Engenharia de Materiais e Metalúrgica","Soldagem","394694936"
"Ciências Exatas e da Terra","Astronomia","Astronomia","393297718"
"Ciências Agrárias","Agronomia","Produção de Mudas","388309525"
"Ciências Agrárias","Medicina Veterinária","Patologia Clínica Animal","388042559"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Paisagismo","386432540"
"Tecnologias","Biotecnologia (Tecnologias)","Biotecnologia (Tecnologias)","386171311"
"Engenharias","Engenharia Civil","Fundações e Escavações","380867101"
"Ciências Biológicas","Parasitologia","Parasitologia","380781739"
"Engenharias","Engenharia de Materiais e Metalúrgica","Estrutura dos Metais e Ligas","378436713"
"Engenharias","Engenharia de Produção","Análise de Custos","378253280"
"Ciências Sociais Aplicadas","Serviço Social","Serviço Social","377358940"
"Ciências Exatas e da Terra","Matemática","Análise Numérica","372594907"
"Ciências Sociais Aplicadas","Economia","Economia Agrária","371475912"
"Ciências Humanas","Geografia","Geografia Urbana","371470663"
"Ciências da Saúde","Medicina","Neurocirurgia","368452493"
"Engenharias","Engenharia de Produção","Avaliação de Projetos","368105668"
"Engenharias","Engenharia Sanitária","Engenharia Sanitária","367305502"
"Ciências Biológicas","Botânica","Anatomia Vegetal","366929320"
"Ciências Humanas","História","História do Brasil República","364612125"
"Ciências Humanas","Ciência Política","Relações Internacionais, Bilaterais e Multilaterais","364377718"
"Ciências Agrárias","Medicina Veterinária","Clínica Cirúrgica Animal","360755111"
"Ciências Agrárias",NULL,"Ciências Agrárias","359199412"
"Engenharias","Engenharia Sanitária","Microbiologia Aplicada e Engenharia Sanitária","357852618"
"Ciências Humanas","Educação","Métodos e Técnicas de Ensino","357154284"
"Ciências Exatas e da Terra","Matemática","Geometria Algébrica","357068206"
"Ciências da Saúde","Nutrição","Alimentos e alimentação coletiva","351533600"
"Engenharias","Engenharia de Materiais e Metalúrgica","Propriedades Físicas dos Metais e Ligas","349513514"
"Engenharias","Engenharia de Materiais e Metalúrgica","Metalurgia de Pó","348820250"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Manejo e Conservação de Recursos Pesqueiros de Águas Interiores","347516394"
"Engenharias","Engenharia Elétrica","Instrumentação Eletrônica","346391739"
"Engenharias","Engenharia Aeroespacial","Projeto de Estruturas Aeroespaciais","345622538"
"Ciências Sociais Aplicadas","Direito","Direito","345128992"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Recursos Florestais e Engenharia Florestal","344759010"
"Outra","Ciências","Ciências","342657863"
"Ciências da Saúde","Medicina","Oftalmologia","341443657"
"Engenharias","Engenharia Civil","Pavimentos","339781479"
"Ciências Exatas e da Terra","Física","Não informado","339645277"
"Ciências Humanas","Educação","Educação Especial","338688803"
"Ciências Sociais Aplicadas","Economia","Economia Monetária e Fiscal","337388177"
"Ciências Sociais Aplicadas","Desenho Industrial","Desenho Industrial","336407407"
"Ciências Sociais Aplicadas","Economia","Crescimento e Desenvolvimento Econômico","336217832"
"Ciências Exatas e da Terra","Geociências","Mineralogia","333032395"
"Ciências Humanas","Ciência Política","Ciência Política","329690173"
"Ciências Exatas e da Terra","Física","Propriedades de Partículas Específicas e Ressonâncias","323289235"
"Ciências Biológicas",NULL,"Ciências Biológicas","322750831"
"Ciências Biológicas","Botânica","Fitogeografia","321735377"
"Ciências da Saúde","Medicina","Gastroenterologia","320398164"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Conservação de Áreas Silvestres","318354627"
"Engenharias","Engenharia Biomédica","Modelagem de Sistemas Biológicos","315799562"
"Engenharias","Engenharia de Energia","Energia Eólica","314637554"
"Ciências Exatas e da Terra","Física","Supercondutividade","314607394"
"Ciências Biológicas","Morfologia","Morfologia","312066647"
"Tecnologias","Tecnologias Médicas e da Saúde","Tecnologias Médicas e da Saúde","311741474"
"Ciências Agrárias","Zootecnia","Exigências Nutricionais dos Animais","310789848"
"Ciências Agrárias","Zootecnia","Melhoramento de Plantas Forrageiras e Produção de Sementes","310690186"
"Ciências Exatas e da Terra","Física","Estruturas Eletrônicas e Propriedades Elétricas de Superfícies; Interf. e Partículas","308291976"
"Ciências Sociais Aplicadas","Turismo","Turismo","307474841"
"Ciências da Saúde","Medicina","Cirurgia Plástica e Restauradora","306643678"
"Ciências da Saúde","Medicina","Dermatologia","302065204"
"Ciências Exatas e da Terra","Química","Evolução, Sistemática e Ecologia Química","301693951"
"Ciências Exatas e da Terra","Química","Espectroscopia","301282417"
"Engenharias","Engenharia de Transportes","Planejamento e Organização do Sistema de Transporte","300894816"
"Engenharias","Engenharia de Materiais e Metalúrgica","Transformação de Fases","299489870"
"Engenharias","Engenharia Elétrica","Não informado","298297215"
"Ciências Exatas e da Terra","Geociências","Climatologia Geográfica","298253715"
"Lingüística, Letras e Artes","Letras","Línguas Clássicas","295811064"
"Engenharias","Engenharia Química","Álcool","295780429"
"Engenharias","Engenharia Elétrica","Conversão e Retificação da Energia Elétrica","293612244"
"Outra",NULL,"Outra","293610756"
"Engenharias","Engenharia Química","Operações Características de Processos Bioquímicos","293515262"
"Ciências Humanas","Arqueologia","Arqueologia","293438309"
"Ciências da Saúde","Farmácia","Bromatologia","292522935"
"Ciências Exatas e da Terra","Geociências","Micrometeorologia","291763467"
"Outra","Ciências Sociais","Ciências Sociais","291383993"
"Ciências da Saúde","Odontologia","Ortodontia","291257275"
"Ciências da Saúde","Medicina","Pneumologia","289549593"
"Ciências Exatas e da Terra","Física","Física de Plasmas e Descargas Elétricas","288513453"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Embalagens de Produtos Alimentares","287017587"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Florestamento e Reflorestamento","286585030"
"Ciências Exatas e da Terra","Oceanografia","Movimento da Água do Mar","285597886"
"Ciências Humanas","Educação","Política Educacional","285061996"
"Ciências Exatas e da Terra","Física","Estrutura de Líquidos e Sólidos; Cristalografia","283702963"
"Ciências Exatas e da Terra","Geociências","Aeronomia","283651900"
"Ciências Exatas e da Terra","Química","Separação","282872760"
"Ciências Agrárias","Agronomia","Física do Solo","281387103"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Aproveitamento de Subprodutos","279577215"
"Ciências Exatas e da Terra","Física","Metrologia, Técnicas Gerais de Laboratório, Sistema de Instrumentação","279488123"
"Ciências Exatas e da Terra","Geociências","Petrologia","277275355"
"Ciências Agrárias","Medicina Veterinária","Inseminação Artificial Animal","277185324"
"Ciências Agrárias","Zootecnia","Criação de Animais","276115201"
"Ciências Agrárias","Medicina Veterinária","Patologia Aviária","275024203"
"Engenharias","Engenharia Naval e Oceânica","Estruturas Navais e Oceânicas","273601732"
"Ciências Exatas e da Terra","Física","Equação de Estado, Equilíbrio de Fases e Transições de Fase","273309467"
"Ciências Sociais Aplicadas","Economia","Economia Internacional","270761086"
"Ciências Sociais Aplicadas","Economia Doméstica","Não informado","269525894"
"Outra","Microeletrônica","Dispositivos","268353673"
"Ciências Exatas e da Terra","Geociências","Prospecção Mineral","266526207"
"Ciências da Saúde","Medicina","Reumatologia","264844198"
"Engenharias","Engenharia de Produção","Ergonomia","264167236"
"Ciências Biológicas","Farmacologia","Farmacologia Autonômica","262398184"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Maricultura","258398200"
"Engenharias","Engenharia de Minas","Lavra de Mina Subterrânea","254954484"
"Ciências Exatas e da Terra","Geociências","Metalogenia","253826271"
"Ciências Humanas","Geografia","Geografia Agrária","252814999"
"Ciências Agrárias","Zootecnia","Avaliação, Produção e Conservação de Forragens","252711439"
"Tecnologias","Tecnologia da Informação e Comunicação","Tecnologia da Informação e Comunicação","250296648"
"Engenharias","Engenharia Civil","Aeroportos; Projeto e Construção","247749889"
"Ciências Exatas e da Terra","Geociências","Hidrogeologia","247258768"
"Engenharias","Engenharia Civil","Portos e Vias Navegáveis; Projeto e Construção","246869303"
"Ciências Humanas","Educação","Currículos Específicos para Níveis e Tipos de Educação","244347154"
"Ciências Agrárias","Zootecnia","Manejo e Conservação de Pastagens","244268313"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Teoria da Arquitetura","243927953"
"Engenharias","Engenharia de Materiais e Metalúrgica","Tratamento de Minérios","238924524"
"Lingüística, Letras e Artes","Letras","Não informado","237820395"
"Engenharias","Engenharia Mecânica","Controle Ambiental","237152354"
"Ciências Exatas e da Terra","Geociências","Geologia Regional","236297431"
"Outra","Multidisciplinar","Não informado","236028935"
"Ciências Biológicas","Bioquímica","Não informado","235707280"
"Ciências Sociais Aplicadas","Economia","Métodos e Modelos Matemáticos, Econométricos e Estatísticos","235362745"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Economia Florestal","233876459"
"Ciências da Saúde","Medicina","Cirurgia Cardiovascular","232155214"
"Ciências Agrárias","Recursos Pesqueiros e Engenharia de Pesca","Carcinocultura","231799881"
"Ciências Humanas","Psicologia","Intervenção Terapêutica","231218153"
"Ciências Humanas","Educação","Avaliação de Sistemas, Instituições, Planos e Programas Educacionais","229099166"
"Ciências Humanas","Psicologia","Processos de Aprendizagem, Memória e Motivação","227332912"
"Engenharias","Engenharia Sanitária","Ecologia Aplicada a Engenharia Sanitária","227246542"
"Engenharias","Engenharia Química","Produtos Naturais","227057105"
"Ciências da Saúde","Nutrição","Nutrição","226920096"
"Engenharias","Engenharia Civil","Ferrovias; Projetos e Construção","226850190"
"Ciências da Saúde","Tecnologias Médicas e da Saúde","Não informado","226340000"
"Engenharias","Engenharia Civil","Mecânicas das Rochas","226187926"
"Engenharias","Engenharia Química","Medicamentos","223460612"
"Engenharias","Engenharia Naval e Oceânica","Máquinas Marítimas","222137891"
"Tecnologias","Desenvolvimento Tecnológico e Industrial","Desenvolvimento Tecnológico e Industrial","220002140"
"Ciências da Saúde","Medicina","Cirurgia Otorrinolaringológica","219809557"
"Ciências Humanas","História","História do Brasil Colônia","219716174"
"Ciências Agrárias","Ciência e Tecnologia de Alimentos","Fisiologia Pós-Colheita","219693627"
"Ciências Humanas","Geografia","Análise Regional","219096994"
"Engenharias","Engenharia Aeroespacial","Aerodinâmica de Aeronaves Espaciais","218014525"
"Ciências Exatas e da Terra","Física","Inf. sobre Átomos e Moléculas Obtidos Experimentalmente; Instrumentação e Técnicas","217960226"
"Ciências Biológicas","Genética","Não informado","217517420"
"Engenharias","Engenharia Sanitária","Técnicas Convencionais de Tratamento de Águas","215876960"
"Ciências Exatas e da Terra","Física","Processos de Colisão e Interações de Átomos e Moléculas","215762448"
"Ciências Biológicas","Parasitologia","Protozoologia Parasitária Animal","215203957"
"Ciências Sociais Aplicadas","Demografia","Demografia","214868980"
"Tecnologias","Meio Ambiente e Sustentabilidade","Meio Ambiente e Sustentabilidade","214738000"
"Engenharias","Engenharia de Materiais e Metalúrgica","Hidrometalurgia","213998732"
"Tecnologias","Biotecnologia","Biotecnologia","212750600"
"Ciências Exatas e da Terra","Matemática","Matemática Discreta e Combinatória","209417542"
"Ciências Biológicas","Biodiversidade e Recursos Naturais","Não informado","208570000"
"Ciências da Saúde","Saúde Coletiva","Política, Planejamento, Gestão e Avaliação","208390000"
"Engenharias","Engenharia de Energia","Uso Eficiente de Energia","208326521"
"Lingüística, Letras e Artes","Lingüística","Não informado","208073719"
"Engenharias","Engenharia Elétrica","Instalações Elétricas e Industriais","206819584"
"Engenharias","Engenharia de Energia","Energia Solar Fotovoltáica","206479949"
"Ciências Sociais Aplicadas","Tecnologias Educacionais e Sociais","Não informado","206254000"
"Engenharias","Engenharia Naval e Oceânica","Tecnologia de Construção Naval e de Sistemas Oceânicos","206125785"
"Ciências Agrárias","Recursos Florestais e Engenharia Florestal","Técnicas e Operações Florestais","204914396"
"Ciências Agrárias","Zootecnia","Não informado","204692400"
"Engenharias","Engenharia Aeroespacial","Estabilidade e Controle","203465451"
"Engenharias","Engenharia de Transportes","Engenharia de Transportes","203450536"
"Ciências Exatas e da Terra","Química","Métodos Óticos de Análise","203350052"
"Ciências Exatas e da Terra","Oceanografia","Sedimentologia Marinha","202439364"
"Ciências da Saúde","Enfermagem","Enfermagem em Doenças Emergentes, Reemergentes e Negligenciadas","202134710"
"Outra","Engenharia Mecatrônica","Engenharia Mecatrônica","202091822"
"Ciências da Saúde","Medicina","Anestesiologia","201457347"
"Ciências Sociais Aplicadas","Administração","Mercadologia","201315521"
"Ciências Exatas e da Terra","Oceanografia","Interação do Oceano com a Atmosfera","201091071"
"Ciências Agrárias","Engenharia Agrícola","Pré-Processamento de Produtos Agrícolas","201002562"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Análise de Dados","199818607"
"Ciências Humanas","História","Não informado","199741473"
"Ciências da Saúde","Medicina","Cirurgia Experimental","195121862"
"Ciências Agrárias","Agronomia","Gênese, Morfologia e Classificação dos Solos","195000848"
"Ciências Exatas e da Terra","Física","Ressonância Mag. e Relax. na Mat. Condens; Efeitos Mosbauer; Corr. Ang. Pertubada","194212681"
"Ciências Humanas","Psicologia","Psicobiologia","193579844"
"Ciências Exatas e da Terra","Geociências","Hidrogeografia","193260937"
"Engenharias","Engenharia Biomédica","Transdutores para Aplicações Biomédicas","192145662"
"Ciências Exatas e da Terra","Matemática","Física Matemática","191882884"
"Ciências Sociais Aplicadas","Arquitetura e Urbanismo","Projetos de Espaços Livres Urbanos","191217318"
"Ciências Humanas","Educação","Sociologia da Educação","190543151"
"Ciências Exatas e da Terra","Física","Métodos Matemáticos da Física","188520240"
"Ciências Humanas","História","História do Brasil Império","188454117"
"Ciências Agrárias","Medicina Veterinária","Farmacologia e Terapêutica Animal","188240409"
"Ciências Sociais Aplicadas","Direito","Direito Constitucional","186429353"
"Ciências Exatas e da Terra","Física","Estrutura Eletrônica de Átomos e Moléculas; Teoria","185182908"
"Ciências Biológicas","Biotecnologia","Vacinas e Kits para Diagnósticos","183557439"
"Ciências Sociais Aplicadas","Ciência da Informação","Ciência da Informação","182767124"
"Ciências Sociais Aplicadas","Demografia","Política Pública e População","181258023"
"Ciências Exatas e da Terra","Probabilidade e Estatística","Regressão e Correlação","179819640"
