"ano","grande_area","total"
2009,"Ciências Exatas e da Terra","5266732894"
2009,"Ciências Humanas","1549054171"
2009,"Ciências Sociais Aplicadas","923921799"
2009,"Engenharias","4191718057"
2009,"Indefinido","218458386"
2009,"Lingüística, Letras e Artes","261387343"
2009,"Outra","1222556293"
2009,"Tecnologias","1200"
2010,"Ciências Agrárias","7427821680"
2010,"Ciências Biológicas","6844821654"
2010,"Ciências da Saúde","3628713189"
2010,"Ciências Exatas e da Terra","6205800635"
2010,"Ciências Humanas","2726572026"
2010,"Ciências Sociais Aplicadas","1005870796"
2010,"Engenharias","5163274119"
2010,"Indefinido","153845961"
2010,"Lingüística, Letras e Artes","315472872"
2010,"Outra","1797935912"
2010,"Tecnologias","82071399"
2011,"Ciências Agrárias","6844319812"
2011,"Ciências Biológicas","5367440925"
2011,"Ciências da Saúde","2279597240"
2011,"Ciências Exatas e da Terra","4508344894"
2011,"Ciências Humanas","1575190091"
2011,"Ciências Sociais Aplicadas","756636462"
2011,"Engenharias","3085955840"
2011,"Indefinido","127515998"
2011,"Lingüística, Letras e Artes","184670002"
2011,"Outra","1577885035"
2011,"Tecnologias","31343851"
2012,"Ciências Agrárias","5395875743"
2012,"Ciências Biológicas","6493085055"
2012,"Ciências da Saúde","4594303150"
2012,"Ciências Exatas e da Terra","7523891915"
2012,"Ciências Humanas","1821500830"
2012,"Ciências Sociais Aplicadas","2222864035"
2012,"Engenharias","10091091624"
2012,"Indefinido","127268212"
2012,"Lingüística, Letras e Artes","549961957"
2012,"Outra","1702374753"
2012,"Tecnologias","345620314"
2013,"Ciências Agrárias","6647594698"
2013,"Ciências Biológicas","11256465988"
2013,"Ciências da Saúde","8311381378"
2013,"Ciências Exatas e da Terra","12993890913"
2013,"Ciências Humanas","2430773989"
2013,"Ciências Sociais Aplicadas","5181886220"
2013,"Engenharias","24126589923"
2013,"Indefinido","210275610"
2013,"Lingüística, Letras e Artes","994077712"
2013,"Outra","3003637431"
2013,"Tecnologias","181743866"
2014,"Ciências Agrárias","8986808164"
2014,"Ciências Biológicas","14137416660"
2014,"Ciências da Saúde","15242562648"
2014,"Ciências Exatas e da Terra","19554912304"
2014,"Ciências Humanas","1810007152"
2014,"Ciências Sociais Aplicadas","12333338202"
2014,"Engenharias","49301636918"
2014,"Indefinido","77302570"
2014,"Lingüística, Letras e Artes","727764455"
2014,"Outra","4511505977"
2014,"Tecnologias","39234226"
2015,"Ciências Agrárias","6647936075"
2015,"Ciências Biológicas","13014278140"
2015,"Ciências da Saúde","15215587455"
2015,"Ciências Exatas e da Terra","16431260355"
2015,"Ciências Humanas","2472213038"
2015,"Ciências Sociais Aplicadas","9248664268"
2015,"Engenharias","35947914264"
2015,"Indefinido","26396425"
2015,"Lingüística, Letras e Artes","959117756"
2015,"Outra","3572608737"
2015,"Tecnologias","23289093"
2016,"Ciências Agrárias","6288465536"
2016,"Ciências Biológicas","10892411969"
2016,"Ciências da Saúde","9269477614"
2016,"Ciências Exatas e da Terra","12483280113"
2016,"Ciências Humanas","2126256377"
2016,"Ciências Sociais Aplicadas","4195645180"
2016,"Engenharias","19355361045"
2016,"Indefinido","2891200"
2016,"Lingüística, Letras e Artes","343700740"
2016,"Outra","2339275863"
2016,"Tecnologias","22939495"
2017,"Ciências Agrárias","2585019470"
2017,"Ciências Biológicas","3795665244"
2017,"Ciências da Saúde","1968166048"
2017,"Ciências Exatas e da Terra","5039622879"
2017,"Ciências Humanas","975920074"
2017,"Ciências Sociais Aplicadas","704102757"
2017,"Engenharias","3941783316"
2017,"Indefinido","4026500"
2017,"Lingüística, Letras e Artes","181579793"
2017,"Outra","732684973"
2017,"Tecnologias","16456299"
2018,"Ciências Agrárias","2173488101"
2018,"Ciências Biológicas","4325176945"
2018,"Ciências da Saúde","2615901176"
2018,"Ciências Exatas e da Terra","4606462348"
2018,"Ciências Humanas","839909919"
2018,"Ciências Sociais Aplicadas","759699041"
2018,"Engenharias","3837892656"
2018,"Indefinido","6341900"
2018,"Lingüística, Letras e Artes","181914294"
2018,"Outra","772203366"
2018,"Tecnologias","15669653"
2019,"Ciências Agrárias","174809582"
2019,"Ciências Biológicas","237448270"
2019,"Ciências da Saúde","181946100"
2019,"Ciências Exatas e da Terra","251768032"
2019,"Ciências Humanas","139871004"
2019,"Ciências Sociais Aplicadas","86579005"
2019,"Engenharias","192131735"
2019,"Indefinido","7626200"
2019,"Lingüística, Letras e Artes","41403135"
2019,"Outra","41027377"
2019,"Tecnologias","16043146"
2021,"Ciências Agrárias","13773931382"
2021,"Ciências Biológicas","20132079200"
2021,"Ciências da Saúde","17678468830"
2021,"Ciências Exatas e da Terra","19547838981"
2021,"Ciências Humanas","11459439739"
2021,"Ciências Sociais Aplicadas","6068545477"
2021,"Engenharias","20813340603"
2021,"Indefinido","28882000"
2021,"Lingüística, Letras e Artes","3633402802"
2021,"Outra","3394376890"
2021,"Tecnologias","1819973400"
2022,"Ciências Agrárias","62598806.87"
2022,"Ciências Biológicas","68591589.68"
2022,"Ciências da Saúde","50426973.51"
2022,"Ciências Exatas e da Terra","77460482.12"
2022,"Ciências Humanas","55346046.09"
2022,"Ciências Sociais Aplicadas","25594818.58"
2022,"Engenharias","58929085.54"
2022,"Indefinido","4000.00"
2022,"Lingüística, Letras e Artes","18371418.31"
2022,"Outra","8954906.00"
2022,"Tecnologias","5093778.00"
2023,"Ciências Agrárias","86716697.90"
2023,"Ciências Biológicas","136581863.32"
2023,"Ciências da Saúde","87242640.87"
2023,"Ciências Exatas e da Terra","135004882.34"
2023,"Ciências Humanas","70154854.54"
2023,"Ciências Sociais Aplicadas","53949095.19"
2023,"Engenharias","109537840.41"
2023,"Indefinido","342937.60"
2023,"Lingüística, Letras e Artes","20637544.19"
2023,"Outra","39293938.23"
2023,"Tecnologias","9564678.00"
NULL,"Ciências Exatas e da Terra","90000"
